file,sha256,N_B,N_H,total_atoms,formal_charge,multiplicity,energy_Eh,role,parent_structure
calculations/tau/beta12_carrier_initial.xyz,6fd26f3924cc7efbf413689650de0b9875c583016a94d97035a5f39c89374248,40,15,55,0,1,N/A (Unrelaxed),Initial unrelaxed 4x2 beta12 supercell cluster,Mannix et al. Science 2015 (DOI: 10.1126/science.aad1080)
calculations/tau/beta12_carrier_optimized.xyz,80024c029e446e24b41b543ebc86f2d5a3a1a36f402577c4bd9d6b09ef94eef7,40,15,55,0,1,-56.192156,Tight-optimized canonical beta12 B40H15 carrier reference,calculations/tau/beta12_carrier_initial.xyz
