name,formal_charge,smiles,E_drug_Eh,drug_formula,n_drug,status,best_orientation_deg,min_contact_A,E_complex_Eh,E_carrier_frozen_Eh,E_drug_frozen_Eh,delta_Eint_SP_kcal_mol,delta_Eads_kcal_mol,final_pose_file,sha256,seconds
Fisetin,0,O=C1C(O)=C(c2ccc(O)c(O)c2)Oc2ccc(O)cc21,-61.632962122616,CHO,31,OK,180,1.465,-117.926015633377,-56.177671501753,-61.6128343093,-85.034,-63.314,calculations\tau_recompute\Fisetin\complex_opt.xyz,35332b33da585dedad6d7dd63449d0905a0f702e3fc00453e1bdecb2d8cb7041,438.1
Apigenin,0,O=C1C=C(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,-57.57097435201,CHO,30,OK,90,1.369,-113.871544506984,-56.158510882802,-57.546715469936,-104.366,-68.031,calculations\tau_recompute\Apigenin\complex_opt.xyz,05b147dbd06fb7da13b8a07cc46f49af7fdb4faeb9889597fef3206d9754baa5,321.3
Luteolin,0,O=C1C=C(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,-61.644180222295,CHO,31,OK,90,1.377,-117.94929990177,-56.157967577427,-61.620532313133,-107.179,-70.886,calculations\tau_recompute\Luteolin\complex_opt.xyz,51aeb1b0acfa2b7b62d700a9d79ad42b45e0695658db10371dc7dd1c0b5a6d48,306.8
Honokiol,0,C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,-55.796484226528,CHO,38,OK,180,2.638,-112.115379944348,-56.298693272969,-55.79524627975,-13.454,-79.53,calculations\tau_recompute\Honokiol\complex_opt.xyz,9ae11d7aff309f90c08b063f1e4cebf928cd8bb97652b7522b4ee4934a8e58b9,391.6
Anle138b,0,BrC1=CC(=NN1C2=CC=C(C=C2)Br)C3=CC=CC=C3,-51.21994599103,BrCHN,29,OK,0,3.552,-107.520256859812,-56.280262699291,-51.21970756595,-12.73,-67.868,calculations\tau_recompute\Anle138b\complex_opt.xyz,ce9df56e7851d410ddd1c3d78dc592c3277e49b2779d1f02a8599e09bd138fa8,458.8
Tideglusib,0,O=C1SC(=O)N(Cc2ccccc2)N1c1cccc2ccccc12,-65.075072657661,CHNOS,38,OK,90,3.309,-121.298120555166,-56.191198311746,-65.073934858634,-20.7,-19.385,calculations\tau_recompute\Tideglusib\complex_opt.xyz,c8f3196eb32a64f12795198a41311c83473fc38850710a4d11b98f3b24556119,373.3
AZD1080,0,Cc1nc(Nc2ccc(C#N)c(F)c2)c(C(F)(F)F)n1C,-63.577212629301,CFHN,31,OK,270,3.173,-119.906454264001,-56.311904812638,-63.576675038563,-11.216,-86.023,calculations\tau_recompute\AZD1080\complex_opt.xyz,036ed04b4f3a03171ca3aec0de3866b357601fb29d297c48f0a6a93d0ab007c0,539.2
Bexarotene,0,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,-73.835602469501,CHO,54,OK,0,3.423,-130.156029915613,-56.297473213586,-73.834252588712,-15.251,-80.492,calculations\tau_recompute\Bexarotene\complex_opt.xyz,cf0eb294a2ef193fe37aca03d2f367155f70b4e515fb71e999ad778ba6e2b23e,452.1
Donepezil,0,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,-81.324903853114,CHNO,57,OK,180,3.69,-137.655412893923,-56.311929354405,-81.324730994245,-11.767,-86.818,calculations\tau_recompute\Donepezil\complex_opt.xyz,5aea3ae579bc7ac92fd83a5f84e4fd397ffe944f8101aeb4b5dd49b98bda4d6f,818.2
Rivastigmine,0,CCN(C)C(=O)Oc1cccc([C@@H](C)N(C)C)c1,-55.215660941798,CHNO,40,OK,180,3.478,-111.543584995905,-56.312085259304,-55.215042719955,-10.327,-85.196,calculations\tau_recompute\Rivastigmine\complex_opt.xyz,62756f01d322ef8b248510bb90ba9aac225d6d6ced6e681bf6cc2965f04a71f0,392.2
Galantamine,0,COc1ccc2c3c1O[C@H]1CC(=O)C=C[C@]31CCN(C)C2,-61.199976211531,CHNO,40,OK,90,2.934,-117.523842839674,-56.300059941882,-61.198504625814,-15.862,-82.65,calculations\tau_recompute\Galantamine\complex_opt.xyz,f5d47c9bd74bc7ed465c2a07f0f09958a5e96f2e9511d59a9dfca95ca51856c3,455.6
Memantine,0,CC12CC3CC(C)(C1)CC(N)(C3)C2,-39.401207715284,CHN,34,OK,90,3.592,-95.726068985296,-56.311951989176,-39.401174167414,-8.122,-83.274,calculations\tau_recompute\Memantine\complex_opt.xyz,8af056f9066a489c86adcd2aba314db80f7fe4e1daffcf5e876e81b76346a7a4,315.6
Tacrine,0,Nc1c2ccccc2nc2c1CCCC2,-40.847135774335,CHN,29,OK,180,3.279,-97.15168027408,-56.278751699842,-40.846996938318,-16.272,-70.525,calculations\tau_recompute\Tacrine\complex_opt.xyz,6c9dfd29a67833292f1dd1c11f74c91fe8738819ad61e836f443aededa5ed655,300.0
